full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,age,BMI
Jrue Holiday,86,11,New Orleans Pelicans,G,06/12/90,1.91,81.6,26131111,USA,2009,1,17,UCLA,NBA2k20,33,22.36780790000274
Nikola Vucevic,86,9,Orlando Magic,C,10/24/90,2.11,108.9,28000000,Montenegro,2011,1,16,USC,NBA2k20,33,24.460367017811823
John Wall,86,2,Washington Wizards,G,09/06/90,1.93,88.5,38199000,USA,2010,1,1,Kentucky,NBA2k20,33,23.759027087975518
Jayson Tatum,85,0,Boston Celtics,F,03/03/98,2.03,92.5,7830000,USA,2017,1,3,Duke,NBA2k20,26,22.44655293746512
Trae Young,85,11,Atlanta Hawks,G,09/19/98,1.85,81.6,6273000,USA,2018,1,5,Oklahoma,NBA2k20,25,23.842220598977352
Eric Bledsoe,85,6,Milwaukee Bucks,G,12/09/89,1.85,88.5,15625000,USA,2010,1,18,Kentucky,NBA2k20,34,25.858290723155587
Clint Capela,85,15,Atlanta Hawks,C,05/18/94,2.08,95.7,16896552,Switzerland,2014,1,25,,NBA2k20,29,22.1200073964497
Tobias Harris,85,12,Philadelphia 76ers,F,07/15/92,2.03,102.5,32742000,USA,2011,1,19,Tennessee,NBA2k20,31,24.873207309082975
Al Horford,85,42,Philadelphia 76ers,C-F,06/03/86,2.06,111.6,28000000,Dominican Republic,2007,1,3,Florida,NBA2k20,37,26.298425864831746
Zach LaVine,85,8,Chicago Bulls,G,03/10/95,1.98,82.1,19500000,USA,2014,1,13,UCLA,NBA2k20,29,20.941740638710336
Kyle Lowry,85,7,Toronto Raptors,G,03/25/86,1.83,93.0,33296296,USA,2006,1,24,Villanova,NBA2k20,38,27.77031263997133
Khris Middleton,85,22,Milwaukee Bucks,F,08/12/91,2.01,98.4,30603448,USA,2012,2,39,Texas A&M,NBA2k20,32,24.355832776416435
Chris Paul,85,3,Oklahoma City Thunder,G,05/06/85,1.85,79.4,38506482,USA,2005,1,4,Wake Forest,NBA2k20,38,23.199415631848066
John Collins,84,20,Atlanta Hawks,F,09/23/97,2.06,102.1,2686560,USA,2017,1,19,Wake Forest,NBA2k20,26,24.05976058063908
Buddy Hield,84,24,Sacramento Kings,G,12/17/93,1.93,96.2,4861207,The Bahamas,2016,1,6,Oklahoma,NBA2k20,30,25.826196676420846
Kyle Kuzma,84,0,Los Angeles Lakers,F,07/24/95,2.03,100.2,1974600,USA,2017,1,27,Utah,NBA2k20,28,24.315076803610868
Jamal Murray,84,27,Denver Nuggets,G,02/23/97,1.93,91.2,4444746,Canada,2016,1,7,Kentucky,NBA2k20,27,24.483878761845958
Louis Williams,84,23,Los Angeles Clippers,G,10/27/86,1.85,79.4,8000000,USA,2005,2,45,,NBA2k20,37,23.199415631848066
Marvin Bagley,83,35,Sacramento Kings,F,03/14/99,2.11,106.6,8556120,USA,2018,1,2,Duke,NBA2k20,25,23.94375687877631
Bojan Bogdanovic,83,44,Utah Jazz,G-F,04/18/89,2.03,98.0,17000000,Croatia,2011,2,31,,NBA2k20,35,23.78121284185494
Malcolm Brogdon,83,7,Indiana Pacers,G,12/11/92,1.96,101.2,20000000,USA,2016,2,36,Virginia,NBA2k20,31,26.343190337359438
Danilo Gallinari,83,8,Oklahoma City Thunder,F,08/08/88,2.08,102.1,22615559,Italy,2008,1,6,,NBA2k20,35,23.599297337278102
Montrezl Harrell,83,5,Los Angeles Clippers,F,01/26/94,2.01,114.8,6000000,USA,2015,2,32,Louisville,NBA2k20,30,28.415138239152505
Kevin Love,83,0,Cleveland Cavaliers,F,09/07/88,2.03,117.9,28942830,USA,2008,1,5,UCLA,NBA2k20,35,28.610255041374465
Lauri Markkanen,83,24,Chicago Bulls,F-C,05/22/97,2.13,108.9,5300400,Finland,2017,1,7,Arizona,NBA2k20,26,24.00317397341798
Jusuf Nurkic,83,27,Portland Trail Blazers,C,08/23/94,2.13,131.5,12000000,Bosnia and Herzegovina,2014,1,16,,NBA2k20,29,28.984548921069457
Julius Randle,83,30,New York Knicks,F,11/29/94,2.03,113.4,18000000,USA,2014,1,7,Kentucky,NBA2k20,29,27.51826057414643
Marc Gasol,82,33,Toronto Raptors,C,01/29/85,2.11,120.2,25595700,Spain,2007,2,48,,NBA2k20,39,26.998495092203683
Steven Adams,82,12,Oklahoma City Thunder,C,07/20/93,2.11,115.7,25842697,New Zealand,2013,1,12,Pittsburgh,NBA2k20,30,25.987736124525508
Deandre Ayton,82,22,Phoenix Suns,C,07/23/98,2.11,113.4,9562920,The Bahamas,2018,1,1,Arizona,NBA2k20,25,25.471125985489998
Spencer Dinwiddie,82,8,Brooklyn Nets,G,04/06/93,1.96,93.0,10605600,USA,2014,2,38,Colorado,NBA2k20,31,24.20866305705956
Jaren Jackson,82,13,Memphis Grizzlies,F-C,09/15/99,2.11,110.0,6699960,USA,2018,1,4,Michigan State,NBA2k20,24,24.70744143213315
Paul Millsap,82,4,Denver Nuggets,F-C,02/10/85,2.01,113.4,30350000,USA,2017,2,47,Louisiana Tech,NBA2k20,39,28.06861216306528
